City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,colonia,50.9333,6.95,19.68,67,0,3.09,DE,1715496238
84,trinidad,-14.8333,-64.9,23.28,77,0,1.87,BO,1715496459
85,san patricio,28.017,-97.5169,27.92,88,99,7.97,US,1715496460
86,oppdal,62.5943,9.6912,12.64,67,99,1.35,NO,1715496460
87,naxos,37.1056,25.3764,20.17,65,20,11.18,GR,1715496461
88,afaahiti,-17.75,-149.2833,25.93,79,13,5.58,PF,1715496462
89,elsmere,39.0126,-84.6047,12.14,81,40,2.06,US,1715496463
90,papao,-17.75,-149.55,26.82,77,4,6.7,PF,1715496464
91,happy valley-goose bay,53.3168,-60.3315,2.17,75,75,2.06,CA,1715496464
92,haiku-pauwela,20.9219,-156.3051,22.8,82,75,2.57,US,1715496465
93,vikhorevka,56.1201,101.1636,16.77,77,100,5.9,RU,1715496465
94,iqaluit,63.7506,-68.5145,-7.15,79,100,11.32,CA,1715496466
95,st. john's,47.5649,-52.7093,2.76,96,100,6.69,CA,1715496466
96,fort bragg,35.139,-79.006,16.91,76,100,2.06,US,1715496467
97,qaqortoq,60.7167,-46.0333,-1.36,94,69,0.56,GL,1715496467
98,bethel,41.3712,-73.414,9.64,81,100,1.54,US,1715496468
99,floriano,-6.7669,-43.0225,22.64,68,10,1.09,BR,1715496468
100,port mathurin,-19.6833,63.4167,25.5,74,36,9.35,MU,1715496469
101,okha,53.5739,142.9478,0.14,85,100,1.34,RU,1715496470
102,coquimbo,-29.9533,-71.3436,9.85,87,0,1.54,CL,1715496470
103,port augusta,-32.5,137.7667,18.45,54,0,5.53,AU,1715496471
104,georgetown,5.4112,100.3354,32.97,62,20,3.6,MY,1715496351
105,sibu,2.3,111.8167,33.17,62,40,0.51,MY,1715496290
106,malaya vishera,58.8454,32.2222,6.22,56,94,3.96,RU,1715496472
107,cidreira,-30.1811,-50.2056,20.0,95,100,6.32,BR,1715496473
108,port elizabeth,-33.918,25.5701,17.16,63,0,3.6,ZA,1715496474
109,valparaiso,-33.0393,-71.6273,7.8,87,0,1.54,CL,1715496475
110,udachny,66.4167,112.4,-0.31,65,100,7.43,RU,1715496475
111,lodja,-3.4833,23.4333,28.06,59,7,1.45,CD,1715496476
112,hawaiian paradise park,19.5933,-154.9731,22.8,98,100,2.57,US,1715496477
113,mar del plata,-38.0023,-57.5575,11.72,68,75,4.12,AR,1715496477
114,queenstown,-31.8976,26.8753,11.48,69,89,1.46,ZA,1715496478
115,swakopmund,-22.6833,14.5333,13.32,86,5,0.89,NA,1715496478
116,kenora,49.8167,-94.4337,17.54,51,75,4.12,CA,1715496480
117,embarcacion,-23.209,-64.096,16.79,77,100,0.57,AR,1715496481
118,pocatello,42.8713,-112.4455,14.95,51,0,5.66,US,1715496481
119,buala,-8.145,159.5921,27.62,80,89,2.29,SB,1715496482
120,margate,51.3813,1.3862,17.39,84,100,0.45,GB,1715496483
121,savoy,45.5,6.4167,14.85,17,96,0.71,FR,1715496484
122,enewetak,11.3474,162.3373,27.63,84,62,7.74,MH,1715496485
123,holualoa,19.6228,-155.9522,23.91,88,40,2.57,US,1715496485
124,taksimo,56.3444,114.8794,11.36,45,100,1.96,RU,1715496486
125,vila franca do campo,37.7167,-25.4333,18.27,99,69,1.57,PT,1715496486
126,bredasdorp,-34.5322,20.0403,13.52,73,5,1.47,ZA,1715496487
127,yarmouth,41.7057,-70.2286,4.98,89,40,1.34,US,1715496488
128,hithadhoo,-0.6,73.0833,28.76,79,100,3.68,MV,1715496493
129,weno,7.4515,151.8468,30.97,79,100,4.12,FM,1715496493
130,avarua,-21.2078,-159.775,24.03,78,100,3.09,CK,1715496494
131,kas,36.2018,29.6377,20.37,74,1,2.74,TR,1715496494
132,marka,1.7159,44.7717,29.82,71,74,7.4,SO,1715496495
133,prince rupert,54.3161,-130.3201,8.83,88,0,1.03,CA,1715496496
134,malango,-2.9627,119.9001,27.19,68,99,2.15,ID,1715496496
135,atafu village,-8.5421,-172.5159,29.71,72,100,5.31,TK,1715496497
136,nouadhibou,20.931,-17.0347,18.99,82,66,9.26,MR,1715496497
137,keflavik,64.0049,-22.5624,7.95,93,100,4.63,IS,1715496204
138,flying fish cove,-10.4217,105.6791,27.82,89,100,4.63,CX,1715496457
139,pachino,36.7186,15.0907,18.95,68,0,1.85,IT,1715496499
140,merizo village,13.2658,144.6691,31.31,81,99,6.21,GU,1715496500
141,saldanha,-33.0117,17.9442,8.03,72,5,5.5,ZA,1715496502
142,el granada,37.5027,-122.4694,16.11,88,100,5.66,US,1715496502
143,al bayda',32.7627,21.7551,16.24,66,10,6.51,LY,1715496504
144,invercargill,-46.4,168.35,10.57,93,100,3.58,NZ,1715496300
145,camana,-16.6228,-72.7111,18.54,88,100,4.01,PE,1715496507
146,pakxan,18.3778,103.6601,38.81,32,63,2.1,LA,1715496509
147,pundong,-7.9522,110.3486,29.6,72,39,5.44,ID,1715496510
148,dryden,49.7833,-92.7503,15.16,58,100,5.66,CA,1715496510
149,tual,-5.6667,132.75,28.45,79,98,8.07,ID,1715496511
150,arraial do cabo,-22.9661,-42.0278,23.63,86,0,3.26,BR,1715496512
151,punta arenas,-53.15,-70.9167,0.06,74,20,3.09,CL,1715496512
152,saint-francois,46.4154,3.9054,18.14,82,0,1.03,FR,1715496513
153,howrah,22.5892,88.3103,32.0,66,40,2.06,IN,1715496513
154,springbok,-29.6643,17.8865,14.39,38,0,2.61,ZA,1715496514
155,fuente-alamo de murcia,37.7,-1.1,19.33,68,81,2.87,ES,1715496515
156,kerikeri,-35.2268,173.9474,14.39,72,100,1.3,NZ,1715496515
157,coahuayana de hidalgo,18.7,-103.6583,22.43,86,15,0.8,MX,1715496516
158,taro,-8.3862,115.28,26.03,70,31,1.55,ID,1715496516
159,longyearbyen,78.2186,15.6401,0.91,75,40,5.14,SJ,1715496517
160,mahibadhoo,3.7833,72.9667,29.85,74,47,5.35,MV,1715496517
